ID,±êÊ¶,M±êÊ¶,ÍØÕ¹Ãû,×é¼þ,Class,ÒµÓàÅÅÃû,ÖÐÎÄÃû,ÀàÐÍ,º¬ÖØ¸´ÀàÐÍ,ÐÎÌ¬,ÐÇ×ù(Zh),ÐÇ×ù(En),³à¾­(J2000),³à¾­D(J2000),³àÎ³(J2000),³àÎ³D(J2000),¿É¼û¹âÐÇµÈV,ÉãÓ°(À¶¹â)ÐÇµÈB,B-V,±íÃæÁÁ¶È(mag/arcmin2),³¤Öá(·Ö),¶ÌÖá(·Ö),·½Î»½Ç,ÏêÏ¸ÃèÊö,¼òÂÔÃèÊö
6067,NGC6067,NGC6067,,,,5,,OCL,OCL,I2r,¾Ø³ß×ù,NOR,16h13m10.9s,16.21969444,-54h13m8s,-54.21888889,5.6,99,99,99,15,,,"a cluster, very bright, very large, very rich, a little compressed, stars from 10th magnitude","Cl, vB, vL, vRi, lC, st 10¡­"
6068,NGC6068,NGC6068,,,III 973,15,,Gxy,Gxy,SBbc,Ð¡ÐÜ×ù,UMI,15h55m25.5s,15.92375,+78h59m48s,78.99666667,12.8,13.6,0.8,12.4,1,0.7,155,"very faint, very small, a little extended 0¡ã, mottled but not resolved","Vf, vS, lE 0¡ã, r"
6069,NGC6069,NGC6069,,,,19,,Gxy,Gxy,S0,±±Ãá×ù,CRB,16h7m41.6s,16.12822222,+38h55m53s,38.93138889,14.3,15.3,1,13.7,0.8,0.8,,"very faint star in a very faint, very small, round nebula","vF * in vF, vS, R neb"
6070,NGC6070,NGC6070,,,III 553,6.5,,Gxy,Gxy,Sc,¾ÞÉß×ù,SER,16h9m58.6s,16.16627778,+0h42m36s,0.71,11.8,12.5,0.7,13.7,3.6,1.8,62,"faint, large, pretty much extended, very gradually brighter middle, mottled but not resolved","F, L, pmE, vgbM, r"
6071,NGC6071,NGC6071,,,III 883,15,,Gxy,Gxy,E-S0,Ð¡ÐÜ×ù,UMI,16h2m6.9s,16.03525,+70h25m2s,70.41722222,13.9,14.9,1,14,1,1,,"extremely faint, very small","eF, vS"
6072,NGC6072,NGC6072,,,,10,,PN,PN,PN,ÌìÐ«×ù,SCO,16h12m58.2s,16.21616667,-36h13m46s,-36.22944444,11.7,14.1,99,99,1.63,,,"pretty faint, round, very gradually a very little brighter middle, mottled but not resolved","pF, R, vgvlbM, r"
6073,NGC6073,NGC6073,,,III 74,15,,Gxy,Gxy,Sc,ÎäÏÉ×ù,HER,16h10m10.9s,16.16969444,+16h42m0s,16.7,13.5,14.3,0.8,13.2,1.3,0.7,130,"very faint, small, mottled but not resolved","vF, S, r"
6074,NGC6074,NGC6074,,1,,18,,Gxy,Gxy,S,ÎäÏÉ×ù,HER,16h11m17.3s,16.18813889,+14h15m31s,14.25861111,14.4,15.2,0.8,12.3,0.4,0.4,,"extremely faint, very small, round, brighter middle","eF, vS, R, bM"
6075,NGC6075,NGC6075,,,,19,,Gxy,Gxy,E-S0,ÎäÏÉ×ù,HER,16h11m22.6s,16.18961111,+23h57m54s,23.965,13.9,14.9,1,13.5,0.9,0.7,90,"faint, very small, round, star or stars involved?, partially resolved (some stars seen)","F, vS, R, * or st inv ?, rr"
6076,NGC6076,NGC6076,,1,,18,,Gxy,Gxy,E0,±±Ãá×ù,CRB,16h11m12.9s,16.18691667,+26h52m19s,26.87194444,14,15,1,13.1,0.4,0.4,,"very faint, small, extended","vF, S, E"
6077,NGC6077,NGC6077,,,,18,,Gxy,Gxy,E1,±±Ãá×ù,CRB,16h11m14s,16.18722222,+26h55m26s,26.92388889,13.3,14.3,1,13.6,1.2,1.1,60,"faint, suddenly brighter middle","F, sbM"
6078,NGC6078,NGC6078,,,,18,,Gxy,Gxy,E0,ÎäÏÉ×ù,HER,16h12m5.4s,16.2015,+14h12m34s,14.20944444,15.2,16.2,1,13.8,0.5,0.5,,"extremely faint, very small, round, brighter middle","eF, vS, R, bM"
6079,NGC6079,NGC6079,,,III 884,15,,Gxy,Gxy,E3,ÌìÁú×ù,DRA,16h4m28.7s,16.07463889,+69h39m58s,69.66611111,12.7,13.7,1,13.1,1.4,1,150,"very faint, very small","vF, vS"
